Make,Model,Year,Fuel_Type,Transmission,Color,Price,Mileage
Tesla,Model X,2004.0,Hybrid,Automatic,White,33723.000883004555,1044.0
Toyota,Corolla,2023.0,Electric,CVT,Grey,45562.987795114066,177763.0
Toyota,,2009.0,Hybrid,Manual,Red,37754.180918012935,197916.0
Tesla,Model 3,2011.0,Electric,Manual,,41003.03726282486,21301.0
BMW,X5,2018.0,Diesel,,Grey,28044.22615307949,95419.0
Toyota,Camry,2020.0,Gasoline,Manual,,20710.776082239994,168606.0
Chevrolet,Malibu,,Diesel,CVT,Blue,28292.78053886398,55856.0
Tesla,Model X,,Gasoline,Manual,,21842.38592596745,180324.0
Chevrolet,Impala,2006.0,Gasoline,Manual,Black,44584.45495197766,85945.0
Nissan,Altima,2005.0,Hybrid,Automatic,Blue,27408.985146449457,142182.0
,Focus,,Diesel,CVT,White,23230.47009854632,177274.0
Nissan,Altima,2010.0,Electric,CVT,Black,24489.703080554114,171236.0
Ford,Fusion,,Hybrid,Manual,Black,28396.219326465434,180764.0
,Focus,2011.0,,Automatic,White,39845.798384925445,120198.0
,Camry,2009.0,,Manual,,23358.818350591137,68681.0
Honda,Civic,2002.0,Electric,Manual,,31214.161396801923,27818.0
,,2014.0,,CVT,,,20104.0
Toyota,Corolla,2004.0,Hybrid,CVT,,29139.621569065657,124336.0
Tesla,Model 3,2002.0,Gasoline,CVT,Black,,32317.0
Tesla,,2001.0,Hybrid,Manual,Blue,29569.569727488433,162488.0
Tesla,Model 3,2024.0,Diesel,CVT,Grey,19987.10928429828,180905.0
Tesla,Model X,2015.0,Diesel,Automatic,Grey,21823.741130932747,194716.0
Honda,CR-V,2014.0,Gasoline,Automatic,Grey,21245.635803791378,176881.0
Toyota,RAV4,2001.0,Electric,CVT,Blue,37885.974892560895,169400.0
Honda,Civic,2017.0,Hybrid,Manual,Grey,28743.31995449081,26028.0
Tesla,Model X,2014.0,Diesel,Manual,Red,,29545.0
,X3,2010.0,Electric,Manual,Black,28167.892951675996,154169.0
Nissan,Rogue,2009.0,Diesel,Manual,Red,33257.2205699652,102511.0
Honda,,2008.0,Hybrid,Automatic,Black,36393.51482574713,181299.0
BMW,320i,2019.0,Hybrid,Automatic,White,20781.12301649688,
Tesla,Model 3,2023.0,Electric,CVT,,30733.48735052033,15733.0
Chevrolet,Impala,2009.0,Gasoline,CVT,Blue,28869.873310332525,112196.0
,Rogue,2019.0,Hybrid,Automatic,White,,34929.0
Tesla,Model S,2011.0,Hybrid,,White,23630.028856279438,162434.0
Honda,Accord,2009.0,Electric,,Red,,6041.0
BMW,X3,2012.0,Diesel,Manual,,23912.391747565533,78209.0
BMW,X3,2022.0,Hybrid,CVT,Red,30210.59080535993,99864.0
Toyota,Camry,2000.0,Gasoline,CVT,Silver,30781.709543463057,175794.0
BMW,320i,2008.0,,Manual,Grey,25752.040565889576,1468.0
BMW,320i,2000.0,Electric,CVT,Grey,36237.12589635303,24309.0
BMW,,2004.0,Electric,CVT,Silver,35441.462797784894,168913.0
BMW,,,Electric,CVT,White,31025.03903372162,177732.0
Toyota,RAV4,2023.0,Hybrid,Automatic,,43320.65460285048,
Nissan,Rogue,,,Manual,Blue,26544.187397012603,134967.0
,Altima,2021.0,Gasoline,CVT,Black,26552.574207952523,146404.0
,X5,2001.0,Gasoline,Automatic,Grey,21901.181641638846,145693.0
Ford,Escape,2002.0,Diesel,CVT,Red,,40502.0
Chevrolet,Impala,2000.0,,,Black,25419.13541185597,36674.0
Ford,Fusion,2005.0,Diesel,Manual,Red,29939.15098791187,71805.0
BMW,X5,2016.0,,CVT,Blue,,195991.0
Toyota,Camry,2019.0,Hybrid,CVT,Grey,,72377.0
BMW,320i,2019.0,Electric,CVT,Red,,130864.0
Toyota,,2017.0,Gasoline,CVT,Grey,28380.29609737326,76298.0
Tesla,Model S,2020.0,Gasoline,Automatic,Black,37031.08119380194,59238.0
Toyota,Corolla,2009.0,Gasoline,Automatic,Blue,27737.983997677155,184875.0
Ford,Focus,2004.0,Electric,Automatic,,30608.568892165582,192180.0
Honda,CR-V,2006.0,Electric,CVT,Red,24500.511798852345,53502.0
Toyota,,2010.0,Hybrid,CVT,Red,24976.47481443104,117116.0
Chevrolet,Equinox,2022.0,Electric,CVT,Black,30508.78885437703,152376.0
Nissan,Sentra,2003.0,Electric,CVT,Grey,14850.545008828976,166766.0
Nissan,Altima,2006.0,Electric,Manual,Silver,,137934.0
BMW,320i,2011.0,Hybrid,Manual,White,37773.86687628326,
,Sentra,2011.0,Hybrid,,Blue,,171999.0
Nissan,Altima,2018.0,,,Grey,31052.200580102228,49853.0
,Malibu,2005.0,Hybrid,Automatic,Red,19366.169462173573,
BMW,,2008.0,Electric,CVT,Silver,30890.50566156371,89787.0
Chevrolet,Malibu,2018.0,Diesel,CVT,Red,26597.727093062378,178130.0
Tesla,Model 3,2016.0,Gasoline,Manual,Red,42946.69909226724,106080.0
Tesla,Model S,2014.0,Gasoline,Automatic,Red,35037.73637865944,118623.0
Chevrolet,Equinox,2016.0,Diesel,CVT,Grey,,37387.0
Toyota,,2004.0,Electric,Manual,,,141172.0
Ford,Fusion,2016.0,Electric,Automatic,Red,15146.743278254846,191428.0
Ford,Escape,2014.0,Diesel,,Black,43779.28794580904,166862.0
BMW,X5,,Gasoline,Automatic,White,41039.29799335157,30988.0
Honda,Civic,2019.0,,Manual,,30310.5146266058,198378.0
Ford,Focus,2024.0,Diesel,,Red,26454.753507218484,143377.0
Nissan,Rogue,2022.0,,CVT,Blue,33924.17389302775,167055.0
Toyota,Camry,2010.0,Gasoline,Manual,Grey,20847.59482542018,170534.0
Chevrolet,Impala,2022.0,Diesel,Automatic,Red,8241.459136369434,192385.0
Toyota,Camry,2007.0,Hybrid,CVT,White,32748.73999415205,
BMW,320i,2013.0,Diesel,CVT,Blue,,63248.0
Chevrolet,Malibu,2020.0,Diesel,Automatic,Black,41001.183123035764,34550.0
Toyota,Camry,2021.0,Diesel,CVT,Blue,,80021.0
,Malibu,2010.0,Gasoline,Automatic,Black,24025.062642344288,15605.0
Ford,,2012.0,Electric,Manual,Red,30341.729108564236,58466.0
Toyota,Camry,2010.0,Gasoline,CVT,Silver,34675.55353709937,3981.0
,Model 3,2024.0,Hybrid,Automatic,Silver,,119238.0
Nissan,Rogue,2012.0,Diesel,Manual,Black,30934.10101517891,95335.0
Nissan,Altima,2007.0,Gasoline,Manual,Black,31845.627114873067,153832.0
,X5,2010.0,Diesel,,,23982.899796453425,132596.0
,Civic,2000.0,,Automatic,White,,166963.0
Toyota,Camry,2007.0,Gasoline,Manual,Black,29174.184868079505,91009.0
,Altima,2007.0,Diesel,,Black,27573.68085312273,7610.0
BMW,320i,2004.0,Electric,Automatic,Grey,29393.403203316553,109381.0
Chevrolet,Malibu,2005.0,Hybrid,Automatic,Black,39964.34603566094,
Nissan,Sentra,2018.0,Diesel,Automatic,Black,19266.028330660294,150737.0
Toyota,Corolla,2022.0,Diesel,Manual,Black,20564.81478578411,137821.0
BMW,X5,2013.0,Gasoline,Manual,Red,35487.0082661883,46531.0
BMW,320i,2017.0,Hybrid,Manual,,35195.76773886645,83996.0
Ford,Focus,2014.0,Hybrid,,Blue,38293.74799721035,56017.0
Nissan,Altima,2019.0,,Manual,Black,30162.69041644713,50468.0
Ford,,2016.0,Hybrid,Manual,Black,22902.165094816366,163535.0
Ford,Focus,2009.0,Diesel,Manual,Black,36731.57677727846,193709.0
Honda,Accord,2001.0,Gasoline,,,38476.64828878111,28.0
Honda,Accord,2013.0,Diesel,Manual,,,45406.0
,Equinox,2021.0,,CVT,White,22874.523769004045,47657.0
BMW,X3,2007.0,Gasoline,Manual,Grey,28471.3265615957,
Ford,Escape,2024.0,Electric,Automatic,Silver,34853.237949793554,54943.0
Ford,Escape,2024.0,Electric,Manual,Silver,20464.416133694434,50390.0
Honda,Civic,2018.0,Hybrid,Automatic,White,20645.30516227385,59557.0
Nissan,Sentra,2008.0,Gasoline,Automatic,White,27948.79274601951,157212.0
Chevrolet,Equinox,2012.0,Gasoline,CVT,Silver,37979.575846710475,119289.0
BMW,X5,2024.0,Diesel,Automatic,Grey,33826.18101686388,
Ford,Escape,2007.0,Diesel,Automatic,Black,39544.276221964275,122357.0
Chevrolet,Impala,2000.0,Electric,CVT,White,,73302.0
Chevrolet,Impala,2010.0,Gasoline,Manual,White,19160.960516908308,94968.0
Tesla,Model 3,2003.0,Electric,,Grey,30478.898737711672,16939.0
Nissan,,2012.0,Electric,Automatic,Red,21462.13958583189,181787.0
Chevrolet,Impala,2018.0,Hybrid,Manual,,33675.59721188622,191735.0
Toyota,,2018.0,Hybrid,Manual,Silver,34107.41828939394,149805.0
Honda,,2002.0,Electric,Manual,Black,33072.270890129956,115080.0
Ford,Focus,2021.0,Gasoline,Automatic,White,32677.295694501947,83028.0
Honda,CR-V,2011.0,Diesel,Automatic,,30948.09622075213,186790.0
Chevrolet,Equinox,2023.0,Hybrid,Manual,Blue,21167.9174414117,36445.0
Chevrolet,Impala,2024.0,Diesel,Automatic,White,31721.633551961557,139195.0
Toyota,Camry,,Electric,Automatic,Silver,29642.23147886538,139294.0
Ford,Focus,2016.0,Hybrid,Automatic,Grey,17231.386487200594,36839.0
Chevrolet,Equinox,2010.0,Hybrid,CVT,White,30138.645529923222,107112.0
Honda,Civic,2004.0,,Automatic,,17397.17706059756,35507.0
Nissan,Altima,2023.0,Gasoline,Automatic,Silver,37909.01822519562,99244.0
,X5,2005.0,Diesel,Automatic,Red,32123.782540022727,130364.0
Toyota,RAV4,2006.0,Diesel,,,34006.85199656292,36901.0
Ford,Focus,2002.0,Diesel,Manual,,23903.407268254552,173688.0
Ford,Fusion,2005.0,Gasoline,Manual,Black,32724.640424129815,52127.0
Toyota,Camry,2008.0,Diesel,Automatic,Grey,25141.57466435102,87362.0
Tesla,Model S,2016.0,,Automatic,Black,22025.184353485332,10976.0
Ford,,2007.0,Diesel,Manual,Grey,38488.57620911568,97170.0
,Civic,2024.0,Electric,,White,30861.392996720322,77707.0
Tesla,Model X,2003.0,Electric,Automatic,Blue,24357.899966136298,93789.0
Honda,Accord,2018.0,Gasoline,Automatic,Blue,31461.036863704758,96516.0
Ford,Focus,2006.0,Diesel,Automatic,Black,18218.909751456325,135864.0
Ford,Fusion,2021.0,Electric,Automatic,Blue,34280.211120266584,187054.0
Chevrolet,Impala,2006.0,Diesel,CVT,Black,32171.401569872643,141779.0
Ford,Focus,2014.0,Gasoline,,Silver,23243.58820175112,165278.0
Tesla,Model 3,2022.0,Diesel,Manual,Silver,35006.41584526756,104647.0
Chevrolet,Malibu,2010.0,Hybrid,Automatic,White,23748.73470211846,35031.0
Honda,Accord,2021.0,Diesel,Automatic,Grey,,65867.0
Honda,Accord,2023.0,Diesel,Automatic,Red,45208.04769861043,88780.0
Toyota,RAV4,2004.0,Hybrid,CVT,Red,,103399.0
Toyota,Camry,2018.0,Hybrid,Automatic,Red,,112113.0
Nissan,Altima,2023.0,Hybrid,Automatic,Silver,30231.03523117827,60091.0
Ford,Escape,2008.0,Diesel,CVT,Silver,29037.384931973418,154591.0
Honda,Accord,2017.0,Electric,Automatic,Blue,25009.332764029044,179006.0
Honda,CR-V,2002.0,Gasoline,Automatic,Grey,35414.27614078606,
Nissan,Sentra,2022.0,Electric,,Blue,38306.739924814676,13265.0
Ford,Fusion,,Electric,Manual,,24319.811351023738,136496.0
,Escape,2008.0,Gasoline,,White,,61892.0
BMW,X5,2005.0,Electric,Manual,,16278.33715175653,151611.0
Tesla,Model X,,Gasoline,CVT,Silver,26910.22598165229,170457.0
Toyota,,2001.0,Diesel,Automatic,Black,16625.838890371517,
Toyota,Camry,2016.0,Electric,Manual,Blue,38657.62181074129,95310.0
Nissan,Sentra,,Electric,CVT,Black,28854.4157414061,156080.0
BMW,X3,2004.0,Electric,Manual,Silver,13393.69700119759,100537.0
Honda,Accord,,,Automatic,Grey,26948.1226199979,190861.0
Nissan,Sentra,2011.0,Diesel,Automatic,Blue,48598.88651180953,7526.0
BMW,,2009.0,Hybrid,Automatic,,36449.8608020521,103863.0
Tesla,Model 3,2019.0,,CVT,White,21785.471108678965,190189.0
,Corolla,2020.0,Hybrid,CVT,Red,6174.721401029994,56096.0
Nissan,Rogue,2003.0,Hybrid,Automatic,Silver,27456.522968040757,133023.0
Ford,Focus,2000.0,Gasoline,CVT,Black,38750.887449024056,196284.0
Tesla,Model S,,Hybrid,Automatic,Black,32987.008291344944,94533.0
Tesla,Model X,2003.0,Diesel,Manual,Grey,31616.30267388082,41954.0
Chevrolet,Malibu,2012.0,Gasoline,Manual,Silver,34761.778586887,29592.0
Nissan,Altima,2004.0,Hybrid,Automatic,Grey,,40643.0
,X5,2011.0,Diesel,CVT,Grey,31647.33870212284,25020.0
Honda,Civic,2016.0,Diesel,Manual,Grey,,173820.0
Honda,CR-V,2018.0,Hybrid,CVT,Grey,19255.525276563443,33798.0
Chevrolet,Malibu,2020.0,Gasoline,CVT,Silver,28046.245579452505,107791.0
Tesla,Model S,2012.0,Hybrid,,Blue,27206.592659630525,174077.0
Chevrolet,Malibu,2020.0,Hybrid,Automatic,Silver,35027.615271765,133922.0
Toyota,Corolla,2007.0,,CVT,Silver,33802.65204101518,125155.0
Ford,Fusion,2012.0,Electric,Manual,Silver,,154607.0
BMW,X3,2018.0,Hybrid,Automatic,Blue,23546.369449628735,4055.0
Toyota,Corolla,2001.0,Electric,Automatic,White,23917.68274555708,38170.0
Ford,Focus,2007.0,Gasoline,,Red,24457.28506482575,
,Malibu,2013.0,Hybrid,,Blue,34892.477536325096,135604.0
Tesla,Model S,2017.0,Electric,CVT,Silver,29572.946559564054,77926.0
Ford,Escape,2023.0,Gasoline,Automatic,Grey,27477.462347741155,70400.0
Ford,,,Electric,Manual,Black,22003.37459217223,9336.0
BMW,320i,,,Manual,Black,47842.5676005157,65421.0
Chevrolet,Impala,2000.0,Electric,Automatic,Red,22741.1802364529,117369.0
Chevrolet,Impala,,,Manual,Red,34205.37961719567,49111.0
BMW,320i,2022.0,Hybrid,Automatic,White,25485.25039220906,42719.0
Toyota,Camry,2006.0,Electric,,White,23564.918335254144,180109.0
Ford,Escape,2011.0,Hybrid,CVT,Black,23657.451716294152,144407.0
Toyota,,2015.0,Gasoline,CVT,Silver,29894.257755699964,175212.0
Chevrolet,Impala,2004.0,Gasoline,Automatic,Black,,31007.0
Nissan,,2009.0,,Manual,Red,34186.02542269837,188019.0
Ford,Escape,2008.0,Electric,Automatic,Red,17191.215553953418,26393.0
Tesla,Model S,2019.0,Hybrid,CVT,Silver,32493.510628191525,57480.0
Tesla,,2001.0,Gasoline,CVT,Blue,36515.79375443078,93650.0
Tesla,Model 3,2004.0,Diesel,CVT,White,21102.476796676092,117595.0
,Model 3,,,,White,34408.919161033016,92259.0
BMW,X3,,Gasoline,Manual,Silver,34648.04088527152,78422.0
Nissan,Rogue,2017.0,,Automatic,Red,31627.295925276547,
Ford,,,Electric,,,22893.64144761456,125604.0
Tesla,Model S,2017.0,Diesel,Manual,Blue,31858.403857890615,128921.0
Chevrolet,,2010.0,Electric,Manual,,42009.737488331906,3435.0
BMW,,2023.0,Electric,Automatic,,35141.92309723812,53014.0
,Rogue,2018.0,Hybrid,Manual,White,28937.63560492405,163898.0
Honda,,2009.0,Diesel,Manual,Blue,28827.276469225708,140791.0
Honda,Civic,2002.0,Electric,Automatic,,40526.51498965633,79553.0
Chevrolet,Equinox,2004.0,Gasoline,CVT,Grey,25786.18425486226,20365.0
Nissan,Altima,,Hybrid,Automatic,Silver,33595.20715072067,39029.0
BMW,X5,2009.0,Gasoline,CVT,Black,33892.966677036944,
Chevrolet,Malibu,,Gasoline,CVT,White,22668.94022295948,177229.0
Tesla,Model 3,2001.0,Electric,Automatic,Grey,45152.69651602951,24596.0
,Camry,2007.0,Hybrid,CVT,Silver,30450.751454298006,98185.0
Honda,CR-V,2005.0,Diesel,Manual,Blue,24921.073217600293,83029.0
Ford,Escape,,Gasoline,Automatic,Grey,33116.63056105673,46228.0
Honda,Accord,2018.0,Electric,Manual,White,26431.53416996324,62257.0
Toyota,RAV4,,,CVT,Grey,23804.160062140934,
Ford,Focus,,Diesel,Manual,White,19761.444923573985,32376.0
Nissan,Sentra,2024.0,Electric,CVT,Black,24671.024405053442,77924.0
Nissan,Altima,2018.0,,CVT,,19977.86933561272,89031.0
Nissan,Sentra,2018.0,Gasoline,Automatic,Silver,37593.28827622122,
Honda,CR-V,2001.0,Hybrid,,Grey,53076.45277635378,43074.0
,Fusion,2020.0,Electric,Automatic,Blue,40200.86925135235,102795.0
Tesla,Model 3,2003.0,Electric,,Black,26601.69307968684,131841.0
BMW,X5,2022.0,Diesel,Automatic,Black,26299.569377175827,
Nissan,Sentra,,Hybrid,Automatic,Red,19949.459466570486,149725.0
Tesla,Model X,2013.0,Gasoline,CVT,Silver,33241.625180694406,103579.0
Tesla,Model X,2005.0,Electric,Automatic,,19543.692361898145,42399.0
Ford,Fusion,2022.0,Gasoline,CVT,Blue,25538.44979125318,44013.0
Tesla,Model 3,2015.0,Electric,Automatic,White,24631.49427943921,188644.0
Chevrolet,Impala,2020.0,Hybrid,Manual,Blue,28168.95062768002,194839.0
Toyota,Camry,2006.0,Hybrid,Manual,Red,30401.55472961626,152297.0
Tesla,Model S,2019.0,Hybrid,,Black,37287.0717243854,111266.0
BMW,,2022.0,Gasoline,Manual,Blue,,20187.0
,Accord,2014.0,Electric,Manual,Silver,28683.21829142565,67863.0
Honda,CR-V,,Diesel,Automatic,Blue,35311.2334110018,39220.0
Ford,Focus,2013.0,Electric,CVT,Blue,32483.598818907758,130503.0
Honda,Civic,2017.0,Electric,CVT,Red,27757.462784381554,150630.0
,Model X,2011.0,Gasoline,CVT,Blue,26181.241725562784,30782.0
Ford,Fusion,2014.0,Hybrid,Manual,Blue,22294.47336355492,150534.0
Honda,Accord,2001.0,Hybrid,Manual,White,27200.488155440144,60030.0
Nissan,Rogue,2000.0,Electric,Manual,Red,39483.51368008579,46950.0
Honda,Civic,2016.0,Diesel,Manual,Grey,27131.323808153662,133595.0
Tesla,Model 3,2024.0,Hybrid,Manual,,30365.54365521576,
,Fusion,2024.0,Gasoline,Manual,,13319.85133229036,
BMW,320i,,Gasoline,CVT,Black,11882.494654008897,143609.0
Honda,Civic,2003.0,Diesel,Automatic,Grey,30181.246140376425,
BMW,320i,2000.0,,Automatic,Grey,26772.631165159128,834.0
BMW,,2019.0,Gasoline,Manual,White,22457.65510206038,32214.0
Nissan,Sentra,2005.0,Diesel,CVT,,30734.353032064813,133177.0
Chevrolet,Malibu,2016.0,Diesel,CVT,Silver,23257.40583461774,199176.0
Tesla,Model S,2015.0,Diesel,Automatic,Silver,34405.43774854509,168751.0
Ford,Focus,2021.0,Electric,CVT,Black,40606.404662483175,116908.0
Chevrolet,Impala,,Diesel,,Black,34896.17906639839,65131.0
Tesla,Model 3,2020.0,Gasoline,CVT,Grey,36615.8532905663,64280.0
BMW,X5,,Hybrid,,Blue,20320.78933540336,58703.0
Honda,Civic,2024.0,Hybrid,Manual,Blue,28925.558134768555,63079.0
Tesla,Model X,2009.0,Electric,Automatic,Blue,28030.414822612827,63230.0
Nissan,Rogue,,Electric,Manual,Silver,23201.904283577685,164052.0
Ford,Fusion,2006.0,Hybrid,Manual,Silver,29457.01781979287,
BMW,X5,2021.0,Diesel,,White,37696.06533301475,104292.0
Honda,Accord,2014.0,,,Black,32918.77357667586,110186.0
Honda,Civic,2011.0,Gasoline,Automatic,Blue,30005.314707603913,23290.0
Tesla,Model 3,2014.0,Electric,Automatic,Red,37370.12357077456,134365.0
Chevrolet,Impala,2007.0,Hybrid,Manual,Black,19499.46957612743,118017.0
Honda,Civic,2019.0,Gasoline,,Blue,46541.47176199061,78006.0
Honda,Accord,2009.0,Hybrid,Automatic,Grey,38995.02585696188,14779.0
Toyota,Camry,2016.0,Diesel,Automatic,Blue,38032.67959770576,21630.0
,Model X,2003.0,Gasoline,CVT,Silver,32454.669519625586,105575.0
Nissan,Altima,2000.0,Gasoline,CVT,Grey,30309.277638874337,22784.0
Ford,Escape,2013.0,Diesel,Manual,Blue,40576.74386663159,194794.0
Toyota,Corolla,2004.0,Gasoline,Manual,,,67359.0
Honda,Accord,2023.0,Hybrid,Automatic,White,14237.217539176483,78608.0
Chevrolet,Equinox,2011.0,Hybrid,Manual,Grey,,24161.0
Toyota,Corolla,2014.0,Diesel,Manual,Blue,,118920.0
Nissan,Altima,2013.0,Electric,Automatic,Grey,,
Ford,Fusion,2010.0,Electric,Manual,Red,,155086.0
Honda,,2011.0,Hybrid,Manual,Silver,36005.74070054693,107800.0
Nissan,Sentra,2023.0,,Automatic,White,27058.63829101812,138562.0
Ford,Fusion,2024.0,Gasoline,CVT,Grey,25082.342104039173,41111.0
Honda,Accord,2009.0,Electric,CVT,White,28232.165663574986,98273.0
Toyota,RAV4,2015.0,Diesel,Automatic,Black,37753.54032006468,119815.0
Toyota,RAV4,2019.0,Diesel,CVT,White,24834.48211537104,140070.0
Chevrolet,,2011.0,Electric,Automatic,Grey,,167973.0
Toyota,Camry,2017.0,Electric,Automatic,Silver,29392.155264586923,52021.0
Toyota,RAV4,2009.0,Gasoline,Manual,Silver,27518.63903569633,50721.0
BMW,,2016.0,Diesel,CVT,White,30019.958685949136,28511.0
Honda,Civic,2017.0,Gasoline,CVT,Red,38153.26771511807,134304.0
Chevrolet,Malibu,2005.0,Gasoline,Manual,White,32364.33694928141,102062.0
Chevrolet,Equinox,2017.0,Electric,Manual,Blue,43222.42736531828,100128.0
Tesla,Model S,2007.0,Electric,Automatic,Silver,29065.14196256218,10683.0
Nissan,Sentra,2018.0,Diesel,CVT,,32048.619877531546,64340.0
,Focus,,Hybrid,Manual,Blue,19895.928899486058,87236.0
BMW,X3,,Gasoline,Automatic,Black,30630.79865916368,30348.0
Ford,Focus,2013.0,Diesel,Manual,Silver,27485.94560055436,147520.0
Tesla,Model 3,2014.0,,Automatic,Blue,28997.97046797622,58759.0
Toyota,RAV4,2021.0,Gasoline,Automatic,,24245.28469109568,175625.0
Tesla,Model X,2001.0,Hybrid,CVT,Silver,20782.106643055355,185226.0
Ford,Escape,,Electric,Manual,Silver,38423.23020994358,35851.0
Nissan,Rogue,2010.0,Gasoline,CVT,Silver,27337.903273447704,162008.0
Nissan,Rogue,,Diesel,,White,33767.1841903679,78858.0
Honda,Accord,2014.0,Gasoline,Manual,Black,19067.816350345674,
,Rogue,2019.0,Electric,Automatic,Grey,24662.55316956641,92377.0
Honda,Accord,2004.0,Gasoline,CVT,Silver,40991.82288273533,187644.0
Toyota,Corolla,,Electric,CVT,Red,26416.287169694482,107293.0
Chevrolet,Malibu,,Diesel,Manual,Black,24533.8267568029,
Tesla,Model X,2001.0,,,White,32282.087937243985,136606.0
Chevrolet,Malibu,2022.0,,Automatic,Grey,38698.237214638284,111695.0
Nissan,Altima,2023.0,Gasoline,CVT,Red,33852.593812686515,167558.0
Honda,CR-V,2003.0,Electric,Manual,Red,41987.41355730775,144378.0
,Accord,2016.0,Electric,Manual,Blue,35501.60860129399,177254.0
Tesla,Model X,2017.0,Electric,Automatic,,25834.16405351249,
Nissan,Rogue,2015.0,Gasoline,Automatic,White,30163.99306636667,27197.0
BMW,X5,2017.0,Electric,,Blue,,59624.0
Honda,Accord,,,Automatic,White,,78177.0
,Sentra,2011.0,Diesel,CVT,Silver,31164.937493995512,81187.0
Honda,CR-V,2005.0,Gasoline,Automatic,White,32986.10448841903,139608.0
Ford,Focus,2023.0,,Automatic,White,,71820.0
Tesla,Model S,2023.0,Gasoline,,White,28422.585033721087,125342.0
Tesla,,2023.0,Hybrid,,Silver,47078.14873539978,85914.0
Ford,Focus,2017.0,Gasoline,Manual,Silver,20741.160011832028,181902.0
Tesla,Model X,2018.0,,Automatic,Grey,30104.863619769938,11539.0
Chevrolet,Impala,2024.0,Hybrid,Automatic,White,20534.63232587749,177833.0
Chevrolet,,2004.0,Gasoline,CVT,Silver,20728.981529771532,159687.0
Nissan,,,Electric,CVT,White,39407.53770568005,
Nissan,Rogue,2017.0,,Automatic,Black,,98971.0
Honda,Accord,2016.0,Diesel,CVT,Silver,36761.223998570495,199978.0
BMW,X3,2016.0,Gasoline,Automatic,Black,46388.21171277084,3650.0
Tesla,Model X,2012.0,Gasoline,CVT,Grey,24849.634927475287,45117.0
Honda,CR-V,2002.0,Electric,Manual,,23446.540340691077,48113.0
Ford,Focus,2016.0,Gasoline,,Blue,37220.101761647245,139861.0
,Camry,2011.0,,Automatic,White,28722.10675958853,166490.0
Toyota,Corolla,2002.0,Electric,Automatic,White,23903.823072475763,
Nissan,Altima,,,CVT,Silver,29889.85189206095,6895.0
Chevrolet,Equinox,2000.0,,CVT,Red,,181383.0
Honda,Civic,2006.0,Hybrid,Automatic,Blue,38413.96128595689,
Tesla,Model 3,2000.0,Diesel,,Grey,28599.907782649163,54847.0
,Focus,2012.0,Gasoline,CVT,Blue,,38931.0
Toyota,Camry,2023.0,,Automatic,Blue,32144.152254425942,55823.0
BMW,X5,2019.0,Diesel,,Red,20875.64396898218,15540.0
Honda,Accord,2010.0,Hybrid,Automatic,Black,21588.523894312297,70248.0
Honda,Civic,2011.0,Gasoline,CVT,Blue,24099.336546733288,
Tesla,Model X,2008.0,Gasoline,Automatic,Silver,35018.42993271974,19787.0
Honda,Accord,2001.0,Electric,,Blue,,141222.0
Honda,Accord,2001.0,Hybrid,CVT,,28408.50401347456,112223.0
Nissan,Altima,2009.0,Diesel,CVT,Red,31072.122075865416,37381.0
Nissan,Sentra,2012.0,Gasoline,Manual,Silver,31700.337647554246,121465.0
Tesla,Model S,2014.0,Diesel,CVT,Silver,37000.638622187165,181565.0
Chevrolet,Impala,2006.0,Gasoline,CVT,Red,16792.97672526856,118724.0
Honda,Accord,2004.0,Gasoline,,Blue,34571.44533906451,58453.0
Tesla,Model 3,2000.0,Diesel,Manual,Grey,18334.69699619068,
Tesla,Model S,,Gasoline,CVT,Black,41577.7332074431,47098.0
Tesla,Model S,2023.0,Diesel,Automatic,Silver,30640.414576012186,108435.0
Ford,,2021.0,Electric,Automatic,,22548.07863304473,167610.0
Tesla,Model S,2006.0,Diesel,Manual,White,31019.43425413761,100572.0
Honda,Civic,2011.0,Hybrid,CVT,Black,16998.978764728592,
Toyota,RAV4,2004.0,Gasoline,Automatic,Silver,,91655.0
Tesla,Model S,2024.0,Diesel,,Silver,37172.212515685096,15690.0
Tesla,Model 3,2013.0,Hybrid,Manual,Grey,47435.049793896134,1909.0
Nissan,Altima,2008.0,Gasoline,CVT,Grey,24484.133097059675,165803.0
Tesla,Model 3,2016.0,Hybrid,Manual,Grey,29800.461712222637,136225.0
Toyota,Corolla,2021.0,Electric,Manual,Black,29993.050303273852,88887.0
Toyota,RAV4,2004.0,Hybrid,CVT,Blue,26089.33466936523,81542.0
Nissan,Rogue,2004.0,Hybrid,Manual,Silver,,24485.0
Toyota,Corolla,2010.0,,,Black,28123.422954268935,89299.0
,Focus,2016.0,Electric,CVT,Blue,,61597.0
Nissan,Rogue,2016.0,Hybrid,CVT,,23773.37460830796,74554.0
BMW,320i,2007.0,Gasoline,,Blue,36047.74068493282,3985.0
Toyota,RAV4,2006.0,Gasoline,Automatic,Grey,25496.16736361127,174124.0
,X5,2009.0,Hybrid,Manual,Red,24248.519714965856,51514.0
BMW,X3,2004.0,Hybrid,Manual,Blue,30510.542019364657,18608.0
,Camry,2009.0,Diesel,CVT,Red,35295.96411831995,188297.0
Ford,Escape,2016.0,Gasoline,Manual,Black,38930.595870189354,17221.0
Chevrolet,Malibu,2014.0,,Automatic,Red,30243.748971658963,172903.0
Toyota,RAV4,2015.0,Hybrid,Manual,Black,36041.95376246382,174005.0
